주문자ID,17년1분기,17년2분기,17년3분기,17년4분기,18년1분기,18년2분기,18년3분기,18년4분기,19년1분기,19년2분기
18956254@n,0.0,0.0,0.0,0.0,242880.0,0.0,0.0,0.0,0.0,0.0
19055048@n,0.0,0.0,0.0,0.0,193100.0,0.0,0.0,0.0,0.0,0.0
19118163@n,0.0,0.0,0.0,0.0,0.0,105400.0,0.0,154770.0,0.0,101870.0
19150839@n,0.0,0.0,0.0,0.0,0.0,0.0,1270160.0,1719630.0,1112450.0,622320.0
1939269293018887@f,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19418408@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116590.0,99350.0
19498788@n,0.0,0.0,0.0,0.0,0.0,0.0,181690.0,83820.0,0.0,0.0
19590526@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69400.0
19597837@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109080.0,113300.0
19623619@n,0.0,0.0,0.0,0.0,0.0,0.0,387860.0,533140.0,695410.0,61900.0
1963889973925686@f,0.0,0.0,0.0,0.0,0.0,77370.0,0.0,0.0,0.0,0.0
19653826@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75820.0
19803644@n,0.0,0.0,0.0,0.0,0.0,0.0,92380.0,98010.0,243130.0,451100.0
20163750@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451220.0,0.0,0.0
20234317@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185700.0
20258052@n,0.0,0.0,0.0,0.0,0.0,0.0,652070.0,92070.0,0.0,0.0
20371974@n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119020.0,0.0,0.0
